(MMTM_code) PS C:\黄琬婷\作业2\作业2\作业2\FCN分割算法> python train.py
Setting up a new session...
C:\Users\bb009\anaconda3\envs\MMTM_code\lib\site-packages\torchvision\models\_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
C:\Users\bb009\anaconda3\envs\MMTM_code\lib\site-packages\torchvision\models\_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG19_Weights.IMAGENET1K_V1`. You can also use `weights=VGG19_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Downloading: "https://download.pytorch.org/models/vgg19-dcbb9e9d.pth" to C:\Users\bb009/.cache\torch\hub\checkpoints\vgg19-dcbb9e9d.pth
100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████| 548M/548M [00:56<00:00, 10.2MB/s]
epoch 0, 0/540,train loss is 0.7467334866523743
epoch 0, 15/540,train loss is 0.6801766157150269
epoch 0, 30/540,train loss is 0.6451888680458069
epoch 0, 45/540,train loss is 0.6384263634681702
epoch 0, 60/540,train loss is 0.6031666994094849
epoch 0, 75/540,train loss is 0.5491058826446533
epoch 0, 90/540,train loss is 0.3072410821914673
epoch 0, 105/540,train loss is 0.7061836123466492
epoch 0, 120/540,train loss is 0.8387457132339478
epoch 0, 135/540,train loss is 1.0117990970611572
epoch 0, 150/540,train loss is 0.3708901107311249
epoch 0, 165/540,train loss is 0.35367467999458313
epoch 0, 180/540,train loss is 0.9703095555305481
epoch 0, 195/540,train loss is 0.6910613775253296
epoch 0, 210/540,train loss is 0.3638920485973358
epoch 0, 225/540,train loss is 0.2540459632873535
epoch 0, 240/540,train loss is 0.7465156316757202
epoch 0, 255/540,train loss is 0.4332317113876343
epoch 0, 270/540,train loss is 0.6316456198692322
epoch 0, 285/540,train loss is 0.6263414025306702
epoch 0, 300/540,train loss is 0.2255636751651764
epoch 0, 315/540,train loss is 0.733897864818573
epoch 0, 330/540,train loss is 0.47557204961776733
epoch 0, 345/540,train loss is 0.6293771862983704
epoch 0, 360/540,train loss is 0.3174018859863281
epoch 0, 375/540,train loss is 1.0008906126022339
epoch 0, 390/540,train loss is 0.26379522681236267
epoch 0, 405/540,train loss is 0.42304059863090515
epoch 0, 420/540,train loss is 0.6709019541740417
epoch 0, 435/540,train loss is 0.5981104373931885
epoch 0, 450/540,train loss is 0.2723940908908844
epoch 0, 465/540,train loss is 0.5628788471221924
epoch 0, 480/540,train loss is 0.176138237118721
epoch 0, 495/540,train loss is 0.7554812431335449
epoch 0, 510/540,train loss is 0.6363199949264526
epoch 0, 525/540,train loss is 0.7817385792732239
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
epoch train loss = 0.501280, epoch test loss = 0.352473, Time 00:00:26
saveing checkpoints/fcn_model_0.pt
epoch 1, 0/540,train loss is 0.19508671760559082
epoch 1, 15/540,train loss is 0.795956552028656
epoch 1, 30/540,train loss is 0.28337401151657104
epoch 1, 45/540,train loss is 0.5479117035865784
epoch 1, 60/540,train loss is 0.5040425062179565
epoch 1, 75/540,train loss is 0.5900483727455139
epoch 1, 90/540,train loss is 0.2740212082862854
epoch 1, 105/540,train loss is 0.13399936258792877
epoch 1, 120/540,train loss is 0.7227156758308411
epoch 1, 135/540,train loss is 0.2607148289680481
epoch 1, 150/540,train loss is 0.3588946759700775
epoch 1, 165/540,train loss is 0.39080992341041565
epoch 1, 180/540,train loss is 0.36909690499305725
epoch 1, 195/540,train loss is 0.578188419342041
epoch 1, 210/540,train loss is 0.3039066195487976
epoch 1, 225/540,train loss is 0.24173691868782043
epoch 1, 240/540,train loss is 0.3257715404033661
epoch 1, 255/540,train loss is 0.5364164710044861
epoch 1, 270/540,train loss is 0.642241358757019
epoch 1, 285/540,train loss is 0.5129831433296204
epoch 1, 300/540,train loss is 0.28639841079711914
epoch 1, 315/540,train loss is 0.32574644684791565
epoch 1, 330/540,train loss is 0.1631001979112625
epoch 1, 345/540,train loss is 0.15639273822307587
epoch 1, 360/540,train loss is 0.7144595384597778
epoch 1, 375/540,train loss is 0.3127497434616089
epoch 1, 390/540,train loss is 0.5391361713409424
epoch 1, 405/540,train loss is 0.28740039467811584
epoch 1, 420/540,train loss is 0.15426859259605408
epoch 1, 435/540,train loss is 0.2843727171421051
epoch 1, 450/540,train loss is 0.4289686381816864
epoch 1, 465/540,train loss is 0.2623301148414612
epoch 1, 480/540,train loss is 0.11145763099193573
epoch 1, 495/540,train loss is 0.09995746612548828
epoch 1, 510/540,train loss is 0.08723698556423187
epoch 1, 525/540,train loss is 0.08438735455274582
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
epoch train loss = 0.346260, epoch test loss = 0.195751, Time 00:00:27
epoch 2, 0/540,train loss is 0.1347038745880127
epoch 2, 15/540,train loss is 0.21943511068820953
epoch 2, 30/540,train loss is 0.2920432984828949
epoch 2, 45/540,train loss is 0.1324123591184616
epoch 2, 60/540,train loss is 0.2643018364906311
epoch 2, 75/540,train loss is 0.24347452819347382
epoch 2, 90/540,train loss is 0.3904268145561218
epoch 2, 105/540,train loss is 0.21974600851535797
epoch 2, 120/540,train loss is 0.44518354535102844
epoch 2, 135/540,train loss is 0.20917491614818573
epoch 2, 150/540,train loss is 0.235117569565773
epoch 2, 165/540,train loss is 0.18943098187446594
epoch 2, 180/540,train loss is 0.3598892092704773
epoch 2, 195/540,train loss is 0.22030532360076904
epoch 2, 210/540,train loss is 0.3452862501144409
epoch 2, 225/540,train loss is 0.21159426867961884
epoch 2, 240/540,train loss is 0.33379629254341125
epoch 2, 255/540,train loss is 0.25698283314704895
epoch 2, 270/540,train loss is 0.25768032670021057
epoch 2, 285/540,train loss is 0.13637307286262512
epoch 2, 300/540,train loss is 0.3503310978412628
epoch 2, 315/540,train loss is 0.17426112294197083
epoch 2, 330/540,train loss is 0.27275609970092773
epoch 2, 345/540,train loss is 0.2266121208667755
epoch 2, 360/540,train loss is 0.175093412399292
epoch 2, 375/540,train loss is 0.21192267537117004
epoch 2, 390/540,train loss is 0.07774649560451508
epoch 2, 405/540,train loss is 0.09893994778394699
epoch 2, 420/540,train loss is 0.16621415317058563
epoch 2, 435/540,train loss is 0.2887832820415497
epoch 2, 450/540,train loss is 0.1251775175333023
epoch 2, 465/540,train loss is 0.140953928232193
epoch 2, 480/540,train loss is 0.1788751184940338
epoch 2, 495/540,train loss is 0.24871709942817688
epoch 2, 510/540,train loss is 0.15401773154735565
epoch 2, 525/540,train loss is 0.20118246972560883
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
epoch train loss = 0.227573, epoch test loss = 0.142906, Time 00:00:28
epoch 3, 0/540,train loss is 0.25545188784599304
epoch 3, 15/540,train loss is 0.13333888351917267
epoch 3, 30/540,train loss is 0.09034290164709091
epoch 3, 45/540,train loss is 0.11892763525247574
epoch 3, 60/540,train loss is 0.24535392224788666
epoch 3, 75/540,train loss is 0.1382862776517868
epoch 3, 90/540,train loss is 0.32796958088874817
epoch 3, 105/540,train loss is 0.07965512573719025
epoch 3, 120/540,train loss is 0.30820682644844055
epoch 3, 135/540,train loss is 0.14821714162826538
epoch 3, 150/540,train loss is 0.11195514351129532
epoch 3, 165/540,train loss is 0.22830107808113098
epoch 3, 180/540,train loss is 0.15799184143543243
epoch 3, 195/540,train loss is 0.29431799054145813
epoch 3, 210/540,train loss is 0.23841503262519836
epoch 3, 225/540,train loss is 0.10608168691396713
epoch 3, 240/540,train loss is 0.1666904240846634
epoch 3, 255/540,train loss is 0.1331946849822998
epoch 3, 270/540,train loss is 0.17473456263542175
epoch 3, 285/540,train loss is 0.12540733814239502
epoch 3, 300/540,train loss is 0.18042545020580292
epoch 3, 315/540,train loss is 0.285006582736969
epoch 3, 330/540,train loss is 0.49272391200065613
epoch 3, 345/540,train loss is 0.11041318625211716
epoch 3, 360/540,train loss is 0.1555255502462387
epoch 3, 375/540,train loss is 0.0740819200873375
epoch 3, 390/540,train loss is 0.10652749985456467
epoch 3, 405/540,train loss is 0.09117559343576431
epoch 3, 420/540,train loss is 0.06833162158727646
epoch 3, 435/540,train loss is 0.05378391221165657
epoch 3, 450/540,train loss is 0.2130497246980667
epoch 3, 465/540,train loss is 0.14613528549671173
epoch 3, 480/540,train loss is 0.20923712849617004
epoch 3, 495/540,train loss is 0.2796403467655182
epoch 3, 510/540,train loss is 0.0899648442864418
epoch 3, 525/540,train loss is 0.09033479541540146
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
epoch train loss = 0.171980, epoch test loss = 0.117442, Time 00:00:28
epoch 4, 0/540,train loss is 0.10542511940002441
epoch 4, 15/540,train loss is 0.18058806657791138
epoch 4, 30/540,train loss is 0.13552367687225342
epoch 4, 45/540,train loss is 0.13973332941532135
epoch 4, 60/540,train loss is 0.0905291810631752
epoch 4, 75/540,train loss is 0.12631040811538696
epoch 4, 90/540,train loss is 0.06545522809028625
epoch 4, 105/540,train loss is 0.18175099790096283
epoch 4, 120/540,train loss is 0.17002588510513306
epoch 4, 135/540,train loss is 0.07161000370979309
epoch 4, 150/540,train loss is 0.06381982564926147
epoch 4, 165/540,train loss is 0.10400132834911346
epoch 4, 180/540,train loss is 0.11682085692882538
epoch 4, 195/540,train loss is 0.10213515907526016
epoch 4, 210/540,train loss is 0.15986186265945435
epoch 4, 225/540,train loss is 0.2363971620798111
epoch 4, 240/540,train loss is 0.07486928999423981
epoch 4, 255/540,train loss is 0.16434836387634277
epoch 4, 270/540,train loss is 0.064481221139431
epoch 4, 285/540,train loss is 0.08581563085317612
epoch 4, 300/540,train loss is 0.2139033079147339
epoch 4, 315/540,train loss is 0.07973978668451309
epoch 4, 330/540,train loss is 0.16167762875556946
epoch 4, 345/540,train loss is 0.06772375851869583
epoch 4, 360/540,train loss is 0.10331567376852036
epoch 4, 375/540,train loss is 0.8618061542510986
epoch 4, 390/540,train loss is 0.039210569113492966
epoch 4, 405/540,train loss is 0.1852138638496399
epoch 4, 420/540,train loss is 0.16249720752239227
epoch 4, 435/540,train loss is 0.18944671750068665
epoch 4, 450/540,train loss is 0.10247499495744705
epoch 4, 465/540,train loss is 0.07716580480337143
epoch 4, 480/540,train loss is 0.1461622267961502
epoch 4, 495/540,train loss is 0.09461004287004471
epoch 4, 510/540,train loss is 0.029331568628549576
epoch 4, 525/540,train loss is 0.1088079884648323
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
epoch train loss = 0.136255, epoch test loss = 0.101207, Time 00:00:31
epoch 5, 0/540,train loss is 0.06973249465227127
epoch 5, 15/540,train loss is 0.070823535323143
epoch 5, 30/540,train loss is 0.13792340457439423
epoch 5, 45/540,train loss is 0.0692143365740776
epoch 5, 60/540,train loss is 0.16255073249340057
epoch 5, 75/540,train loss is 0.06738262623548508
epoch 5, 90/540,train loss is 0.07500726729631424
epoch 5, 105/540,train loss is 0.10677555203437805
epoch 5, 120/540,train loss is 0.073910653591156
epoch 5, 135/540,train loss is 0.056684911251068115
epoch 5, 150/540,train loss is 0.059946998953819275
epoch 5, 165/540,train loss is 0.07917849719524384
epoch 5, 180/540,train loss is 0.04769929125905037
epoch 5, 195/540,train loss is 0.09664371609687805
epoch 5, 210/540,train loss is 0.1076292097568512
epoch 5, 225/540,train loss is 0.06933620572090149
epoch 5, 240/540,train loss is 0.02646968699991703
epoch 5, 255/540,train loss is 0.07895906269550323
epoch 5, 270/540,train loss is 0.032759446650743484
epoch 5, 285/540,train loss is 0.18491870164871216
epoch 5, 300/540,train loss is 0.06599131226539612
epoch 5, 315/540,train loss is 0.2782975435256958
epoch 5, 330/540,train loss is 0.10577073693275452
epoch 5, 345/540,train loss is 0.06024911627173424
epoch 5, 360/540,train loss is 0.21948763728141785
epoch 5, 375/540,train loss is 0.029467735439538956
epoch 5, 390/540,train loss is 0.10292384773492813
epoch 5, 405/540,train loss is 0.0991397276520729
epoch 5, 420/540,train loss is 0.17447344958782196
epoch 5, 435/540,train loss is 0.14037281274795532
epoch 5, 450/540,train loss is 0.031608350574970245
epoch 5, 465/540,train loss is 0.07551261782646179
epoch 5, 480/540,train loss is 0.19666706025600433
epoch 5, 495/540,train loss is 0.11167306452989578
epoch 5, 510/540,train loss is 0.14160315692424774
epoch 5, 525/540,train loss is 0.1269288808107376
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
Testing... Open http://localhost:8097/ to see test result.
